wP,wF,wD,S_no_RL,S_RL,equilibrium_pairs,defender_value
0.8,0.05,0.15,0.24969119489273767,0.08821065773447016,dRID:A0,-0.30000000000000004
0.8,0.1,0.1,0.2095807965951585,0.05880710515631345,dRID:A0,-0.30000000000000004
0.8,0.15,0.05,0.16947039829757926,0.029403552578156723,dRID:A0,-0.30000000000000004
0.8,0.2,0.0,0.12936000000000006,0.0,dRID:A0,-0.30000000000000004
0.85,0.0,0.15,0.24572619489273767,0.08821065773447016,dRID:A0,-0.30000000000000004
0.85,0.05,0.1,0.20561579659515847,0.05880710515631345,dRID:A0,-0.30000000000000004
0.85,0.1,0.05,0.16550539829757926,0.029403552578156723,dRID:A0,-0.30000000000000004
0.85,0.15,0.0,0.12539500000000003,0.0,dRID:A0,-0.30000000000000004
0.9,0.0,0.1,0.2016507965951585,0.05880710515631345,dRID:A0,-0.30000000000000004
0.9,0.05,0.05,0.16154039829757927,0.029403552578156723,dRID:A0,-0.30000000000000004
0.9,0.1,0.0,0.12143000000000005,0.0,dRID:A0,-0.30000000000000004
0.95,0.0,0.05,0.15757539829757924,0.029403552578156723,dRID:A0,-0.30000000000000004
0.95,0.05,0.0,0.11746500000000003,0.0,dRID:A0,-0.30000000000000004
1.0,0.0,0.0,0.11350000000000005,0.0,dRID:A0,-0.30000000000000004
